name,gender,race,herotype,alttype,rangetype,description,stats
Draxae,Non-binary,Demon,Marksman,Fighter,Ranged,"A noble warrior from the Demon lineage, known for unmatched strength.","{'hp_base': 516, 'hp_lvl': 100, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 32, 'armor_lvl': 4.2, 'attack_base': 59, 'attack_lvl': 3.3, 'speed': 330}"
Nirion,Male,Sylph,Fighter,,Ranged,"A mysterious warrior from the Sylph lineage, known for unyielding defense.","{'hp_base': 626, 'hp_lvl': 125, 'mp_base': 398, 'mp_lvl': 39, 'armor_base': 29, 'armor_lvl': 4.1, 'attack_base': 54, 'attack_lvl': 3.4, 'speed': 340}"
Elyon,Male,Sylph,Assassin,Tank,Melee,"A cursed warrior from the Sylph lineage, known for unmatched strength.","{'hp_base': 580, 'hp_lvl': 101, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 23, 'armor_lvl': 2.5, 'attack_base': 51, 'attack_lvl': 3.6, 'speed': 325}"
Gorara,Male,Golemkin,Mage,,Melee,"A forgotten warrior from the Golemkin lineage, known for blazing speed.","{'hp_base': 599, 'hp_lvl': 105, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 28, 'armor_lvl': 4.4, 'attack_base': 66, 'attack_lvl': 3.1, 'speed': 345}"
Velax,Non-binary,Sylph,Marksman,Support,Ranged,"A noble warrior from the Sylph lineage, known for unmatched strength.","{'hp_base': 664, 'hp_lvl': 95, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 35, 'armor_lvl': 2.5, 'attack_base': 49, 'attack_lvl': 2.5, 'speed': 340}"
Vexor,Female,Celestian,Marksman,,Melee,"A forgotten warrior from the Celestian lineage, known for blazing speed.","{'hp_base': 573, 'hp_lvl': 90, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 32, 'armor_lvl': 3.0, 'attack_base': 67, 'attack_lvl': 3.4, 'speed': 335}"
Baelen,Male,Targonian,Tank,Support,Ranged,"A cursed warrior from the Targonian lineage, known for unyielding defense.","{'hp_base': 677, 'hp_lvl': 109, 'mp_base': 0, 'mp_lvl': 0, 'armor_base': 24, 'armor_lvl': 4.0, 'attack_base': 62, 'attack_lvl': 3.2, 'speed': 335}"
Draxen,Male,Dwarven,Mage,,Melee,"A mysterious warrior from the Dwarven lineage, known for stealth tactics.","{'hp_base': 687, 'hp_lvl': 124, 'mp_base': 443, 'mp_lvl': 50, 'armor_base': 33, 'armor_lvl': 4.2, 'attack_base': 51, 'attack_lvl': 3.5, 'speed': 325}"
Kaelion,Male,Golemkin,Support,Marksman,Ranged,"A cursed warrior from the Golemkin lineage, known for unyielding defense.","{'hp_base': 678, 'hp_lvl': 115, 'mp_base': 344, 'mp_lvl': 42, 'armor_base': 22, 'armor_lvl': 4.3, 'attack_base': 51, 'attack_lvl': 3.5, 'speed': 330}"
Vexus,Male,Demon,Marksman,Assassin,Ranged,"A forgotten warrior from the Demon lineage, known for unyielding defense.","{'hp_base': 587, 'hp_lvl': 108, 'mp_base': 0, 'mp_lvl': 42, 'armor_base': 34, 'armor_lvl': 4.2, 'attack_base': 60, 'attack_lvl': 3.7, 'speed': 325}"
Loron,Female,Golemkin,Tank,Fighter,Melee,"A noble warrior from the Golemkin lineage, known for unyielding defense.","{'hp_base': 547, 'hp_lvl': 83, 'mp_base': 330, 'mp_lvl': 0, 'armor_base': 22, 'armor_lvl': 4.1, 'attack_base': 65, 'attack_lvl': 3.1, 'speed': 335}"
Baelith,Female,Vastayan,Fighter,,Ranged,"A noble warrior from the Vastayan lineage, known for unmatched strength.","{'hp_base': 511, 'hp_lvl': 127, 'mp_base': 401, 'mp_lvl': 0, 'armor_base': 19, 'armor_lvl': 4.4, 'attack_base': 58, 'attack_lvl': 2.9, 'speed': 345}"
